,,,Date,2021/07/26 04:47:41 PM
KIF    ,202203  ,2,0,9999.99
KIF    ,202206  ,0,0,NA
KKF    ,202108  ,148,55,2.69
KKF    ,202109  ,0,0,NA
KKF    ,202112  ,2,0,9999.99
KKF    ,202203  ,0,0,NA
KKF    ,202206  ,0,0,NA
KLF    ,202108  ,774,146,5.30
KLF    ,202109  ,34,8,4.25
KLF    ,202112  ,0,0,NA
KLF    ,202203  ,0,0,NA
KLF    ,202206  ,0,0,NA
KOF    ,202108  ,1566,70,22.37
KOF    ,202109  ,134,27,4.96
KOF    ,202112  ,0,0,NA
KOF    ,202203  ,0,0,NA
KOF    ,202206  ,0,0,NA
KPF    ,202108  ,944,331,2.85
KPF    ,202109  ,82,18,4.56
KPF    ,202112  ,0,0,NA
KPF    ,202203  ,0,0,NA
KPF    ,202206  ,0,0,NA
KSF    ,202108  ,700,87,8.05
KSF    ,202109  ,40,8,5.00
KSF    ,202112  ,0,0,NA
KSF    ,202203  ,0,0,NA
KSF    ,202206  ,0,0,NA
KWF    ,202108  ,2748,2752,1.00
KWF    ,202109  ,114,42,2.71
KWF    ,202112  ,0,0,NA
KWF    ,202203  ,0,0,NA
KWF    ,202206  ,0,0,NA
LBF    ,202108  ,48,13,3.69
LBF    ,202109  ,0,0,NA
LBF    ,202112  ,0,0,NA
LBF    ,202203  ,0,0,NA
LBF    ,202206  ,0,0,NA
LCF    ,202108  ,200,28,7.14
LCF    ,202109  ,54,6,9.00
LCF    ,202112  ,12,2,6.00
LCF    ,202203  ,0,0,NA
LCF    ,202206  ,0,0,NA
LEF    ,202108  ,1716,710,2.42
LEF    ,202109  ,2,0,9999.99
LEF    ,202112  ,0,0,NA
LEF    ,202203  ,0,0,NA
LEF    ,202206  ,0,0,NA
LIF    ,202108  ,3288,1146,2.87
LIF    ,202109  ,158,36,4.39
LIF    ,202112  ,14,3,4.67
LIF    ,202203  ,0,0,NA
LIF    ,202206  ,0,0,NA
LMF    ,202108  ,412,31,13.29
LMF    ,202109  ,48,10,4.80
LMF    ,202112  ,0,0,NA
LMF    ,202203  ,0,0,NA
LMF    ,202206  ,0,0,NA
LOF    ,202108  ,112,10,11.20
LOF    ,202109  ,2,0,9999.99
LOF    ,202112  ,0,0,NA
LOF    ,202203  ,0,0,NA
LOF    ,202206  ,0,0,NA
LQF    ,202108  ,1536,242,6.35
LQF    ,202109  ,52,10,5.20
LQF    ,202112  ,0,0,NA
LQF    ,202203  ,0,0,NA
LQF    ,202206  ,0,0,NA
LRF    ,202108  ,3038,314,9.68
LRF    ,202109  ,244,36,6.78
LRF    ,202112  ,70,0,9999.99
LRF    ,202203  ,2,0,9999.99
LRF    ,202206  ,0,0,NA
LTF    ,202108  ,204,104,1.96
LTF    ,202109  ,0,0,NA
LTF    ,202112  ,0,0,NA
LTF    ,202203  ,0,0,NA
LTF    ,202206  ,0,0,NA
LUF    ,202108  ,1634,274,5.96
LUF    ,202109  ,48,7,6.86
LUF    ,202112  ,34,0,9999.99
LUF    ,202203  ,14,0,9999.99
LUF    ,202206  ,0,0,NA
LVF    ,202108  ,108,34,3.18
LVF    ,202109  ,22,7,3.14
LVF    ,202112  ,2,0,9999.99
LVF    ,202203  ,0,0,NA
LVF    ,202206  ,0,0,NA
LWF    ,202108  ,630,83,7.59
LWF    ,202109  ,44,10,4.40
LWF    ,202112  ,0,0,NA
LWF    ,202203  ,0,0,NA
LWF    ,202206  ,0,0,NA
LXF    ,202108  ,2884,1989,1.45
LXF    ,202109  ,80,33,2.42
LXF    ,202112  ,6,0,9999.99
LXF    ,202203  ,0,0,NA
LXF    ,202206  ,0,0,NA
LYF    ,202108  ,2084,1320,1.58
LYF    ,202109  ,98,37,2.65
LYF    ,202112  ,12,7,1.71
LYF    ,202203  ,12,3,4.00
LYF    ,202206  ,0,0,NA
MAF    ,202108  ,90,24,3.75
MAF    ,202109  ,26,4,6.50
MAF    ,202112  ,0,0,NA
MAF    ,202203  ,0,0,NA
MAF    ,202206  ,0,0,NA
MBF    ,202108  ,582,70,8.31
MBF    ,202109  ,20,4,5.00
MBF    ,202112  ,0,0,NA
MBF    ,202203  ,0,0,NA
MBF    ,202206  ,0,0,NA
MJF    ,202108  ,46,9,5.11
MJF    ,202109  ,8,1,8.00
MJF    ,202112  ,0,0,NA
MJF    ,202203  ,0,0,NA
MJF    ,202206  ,0,0,NA
MKF    ,202108  ,534,107,4.99
MKF    ,202109  ,6,1,6.00
MKF    ,202112  ,2,0,9999.99
MKF    ,202203  ,2,0,9999.99
MKF    ,202206  ,0,0,NA
MPF    ,202108  ,38,15,2.53
MPF    ,202109  ,50,0,9999.99
MPF    ,202112  ,2,0,9999.99
MPF    ,202203  ,0,0,NA
MPF    ,202206  ,0,0,NA
MQF    ,202108  ,2314,1070,2.16
MQF    ,202109  ,108,28,3.86
MQF    ,202112  ,0,0,NA
MQF    ,202203  ,2,0,9999.99
MQF    ,202206  ,0,0,NA
MVF    ,202108  ,1242,231,5.38
MVF    ,202109  ,166,37,4.49
MVF    ,202112  ,0,0,NA
MVF    ,202203  ,0,0,NA
MVF    ,202206  ,0,0,NA
MXF    ,202107W4,596,1241,0.48
MXF    ,202108  ,86710,398225,0.22
MXF    ,202109  ,10768,7194,1.50
MXF    ,202110  ,548,793,0.69
MXF    ,202112  ,5730,789,7.26
MXF    ,202203  ,2756,307,8.98
MXF    ,202206  ,738,153,4.82
MYF    ,202108  ,10,2,5.00
MYF    ,202109  ,0,0,NA
MYF    ,202112  ,0,0,NA
MYF    ,202203  ,0,0,NA
MYF    ,202206  ,0,0,NA
NAF    ,202108  ,1196,710,1.68
NAF    ,202109  ,14,3,4.67
NAF    ,202112  ,2,0,9999.99
NAF    ,202203  ,0,0,NA
NAF    ,202206  ,0,0,NA
NBF    ,202108  ,56,16,3.50
NBF    ,202109  ,22,4,5.50
NBF    ,202112  ,0,0,NA
NBF    ,202203  ,0,0,NA
NBF    ,202206  ,0,0,NA
NCF    ,202108  ,416,14,29.71
NCF    ,202109  ,8,2,4.00
NCF    ,202112  ,0,0,NA
NCF    ,202203  ,0,0,NA
NCF    ,202206  ,0,0,NA
NDF    ,202108  ,5534,4798,1.15
NDF    ,202109  ,46,30,1.53
NDF    ,202112  ,0,0,NA
NDF    ,202203  ,42,0,9999.99
NDF    ,202206  ,0,0,NA
NEF    ,202108  ,996,507,1.96
NEF    ,202109  ,22,4,5.50
NEF    ,202112  ,0,0,NA
NEF    ,202203  ,0,0,NA
NEF    ,202206  ,0,0,NA
NGF    ,202108  ,126,77,1.64
NGF    ,202109  ,0,0,NA
NGF    ,202112  ,0,0,NA
NGF    ,202203  ,0,0,NA
NGF    ,202206  ,0,0,NA
NIF    ,202108  ,202,27,7.48
NIF    ,202109  ,6,1,6.00
NIF    ,202112  ,6,0,9999.99
NIF    ,202203  ,0,0,NA
NIF    ,202206  ,0,0,NA
NJF    ,202108  ,1042,712,1.46
NJF    ,202109  ,50,23,2.17
NJF    ,202112  ,0,0,NA
NJF    ,202203  ,0,0,NA
NJF    ,202206  ,0,0,NA
NLF    ,202108  ,314,72,4.36
NLF    ,202109  ,2,0,9999.99
NLF    ,202112  ,0,0,NA
NLF    ,202203  ,0,0,NA
NLF    ,202206  ,0,0,NA
NMF    ,202108  ,122,34,3.59
NMF    ,202109  ,2,0,9999.99
NMF    ,202112  ,0,0,NA
NMF    ,202203  ,0,0,NA
NMF    ,202206  ,0,0,NA
NOF    ,202108  ,7456,4213,1.77
NOF    ,202109  ,226,70,3.23
NOF    ,202112  ,336,20,16.80
NOF    ,202203  ,40,8,5.00
NOF    ,202206  ,0,0,NA
NQF    ,202108  ,432,67,6.45
NQF    ,202109  ,24,7,3.43
NQF    ,202112  ,0,0,NA
NQF    ,202203  ,0,0,NA
NQF    ,202206  ,0,0,NA
NSF    ,202108  ,3464,1569,2.21
NSF    ,202109  ,50,17,2.94
NSF    ,202112  ,2,1,2.00
NSF    ,202203  ,0,0,NA
NSF    ,202206  ,0,0,NA
NUF    ,202108  ,764,593,1.29
NUF    ,202109  ,26,10,2.60
NUF    ,202112  ,0,0,NA
NUF    ,202203  ,0,0,NA
NUF    ,202206  ,0,0,NA
NVF    ,202108  ,3306,3108,1.06
NVF    ,202109  ,82,25,3.28
NVF    ,202112  ,2,0,9999.99
NVF    ,202203  ,10,0,9999.99
NVF    ,202206  ,0,0,NA
NWF    ,202108  ,408,120,3.40
NWF    ,202109  ,48,13,3.69
NWF    ,202112  ,0,0,NA
NWF    ,202203  ,0,0,NA
NWF    ,202206  ,0,0,NA
NXF    ,202108  ,318,63,5.05
NXF    ,202109  ,0,0,NA
NXF    ,202112  ,0,0,NA
NXF    ,202203  ,0,0,NA
NXF    ,202206  ,0,0,NA
NYF    ,202108  ,16540,2928,5.65
NYF    ,202109  ,50,24,2.08
NYF    ,202112  ,8,0,9999.99
NYF    ,202203  ,0,0,NA
NYF    ,202206  ,0,0,NA
NZF    ,202108  ,90,37,2.43
NZF    ,202109  ,8,2,4.00
NZF    ,202112  ,2,0,9999.99
NZF    ,202203  ,0,0,NA
NZF    ,202206  ,0,0,NA
OAF    ,202108  ,4180,594,7.04
OAF    ,202109  ,320,72,4.44
OAF    ,202112  ,0,0,NA
OAF    ,202203  ,0,0,NA
OAF    ,202206  ,0,0,NA
OBF    ,202108  ,82,20,4.10
OBF    ,202109  ,2,4,0.50
OBF    ,202112  ,0,0,NA
OBF    ,202203  ,0,0,NA
OBF    ,202206  ,0,0,NA
OCF    ,202108  ,38,12,3.17
OCF    ,202109  ,4,1,4.00
OCF    ,202112  ,0,0,NA
OCF    ,202203  ,0,0,NA
OCF    ,202206  ,0,0,NA
ODF    ,202108  ,226,96,2.35
ODF    ,202109  ,10,0,9999.99
ODF    ,202112  ,0,0,NA
ODF    ,202203  ,2,0,9999.99
ODF    ,202206  ,0,0,NA
OEF    ,202108  ,5900,8192,0.72
OEF    ,202109  ,354,166,2.13
OEF    ,202112  ,4,0,9999.99
OEF    ,202203  ,4,0,9999.99
OEF    ,202206  ,0,0,NA
OHF    ,202108  ,144,47,3.06
OHF    ,202109  ,4,1,4.00
OHF    ,202112  ,2,0,9999.99
OHF    ,202203  ,0,0,NA
OHF    ,202206  ,0,0,NA
OJF    ,202108  ,878,276,3.18
OJF    ,202109  ,56,22,2.55
OJF    ,202112  ,0,0,NA
OJF    ,202203  ,0,0,NA
OJF    ,202206  ,0,0,NA
OKF    ,202108  ,1152,193,5.97
OKF    ,202109  ,54,20,2.70
OKF    ,202112  ,0,0,NA
OKF    ,202203  ,0,0,NA
OKF    ,202206  ,0,0,NA
OLF    ,202108  ,2206,586,3.76
OLF    ,202109  ,140,15,9.33
OLF    ,202112  ,20,0,9999.99
OLF    ,202203  ,6,0,9999.99
OLF    ,202206  ,0,0,NA
OMF    ,202108  ,522,167,3.13
OMF    ,202109  ,42,5,8.40
OMF    ,202112  ,0,0,NA
OMF    ,202203  ,0,0,NA
OMF    ,202206  ,0,0,NA
OOF    ,202108  ,118,48,2.46
OOF    ,202109  ,22,14,1.57
OOF    ,202112  ,0,0,NA
OOF    ,202203  ,0,0,NA
OOF    ,202206  ,0,0,NA
OPF    ,202108  ,298,118,2.53
OPF    ,202109  ,2,0,9999.99
OPF    ,202112  ,2,0,9999.99
OPF    ,202203  ,0,0,NA
OPF    ,202206  ,0,0,NA
OQF    ,202108  ,280,28,10.00
OQF    ,202109  ,24,8,3.00
OQF    ,202112  ,0,0,NA
OQF    ,202203  ,2,0,9999.99
OQF    ,202206  ,0,0,NA
ORF    ,202108  ,616,104,5.92
ORF    ,202109  ,4,1,4.00
ORF    ,202112  ,0,0,NA
ORF    ,202203  ,0,0,NA
ORF    ,202206  ,0,0,NA
OSF    ,202108  ,2178,835,2.61
OSF    ,202109  ,28,8,3.50
OSF    ,202112  ,0,0,NA
OSF    ,202203  ,2,0,9999.99
OSF    ,202206  ,0,0,NA
OTF    ,202108  ,30,9,3.33
OTF    ,202109  ,0,0,NA
OTF    ,202112  ,0,0,NA
OTF    ,202203  ,0,0,NA
OTF    ,202206  ,0,0,NA
OUF    ,202108  ,986,610,1.62
OUF    ,202109  ,64,25,2.56
OUF    ,202112  ,0,0,NA
OUF    ,202203  ,0,0,NA
OUF    ,202206  ,0,0,NA
OVF    ,202108  ,1038,74,14.03
OVF    ,202109  ,20,5,4.00
OVF    ,202112  ,0,0,NA
OVF    ,202203  ,0,0,NA
OVF    ,202206  ,0,0,NA
OWF    ,202108  ,430,340,1.26
OWF    ,202109  ,2,0,9999.99
OWF    ,202112  ,8,0,9999.99
OWF    ,202203  ,6,0,9999.99
OWF    ,202206  ,0,0,NA
OXF    ,202108  ,0,0,NA
OXF    ,202109  ,0,0,NA
OXF    ,202112  ,0,0,NA
OXF    ,202203  ,0,0,NA
OXF    ,202206  ,0,0,NA
OYF    ,202108  ,68,18,3.78
OYF    ,202109  ,2,0,9999.99
OYF    ,202112  ,0,0,NA
OYF    ,202203  ,0,0,NA
OYF    ,202206  ,0,0,NA
OZF    ,202108  ,4552,1474,3.09
OZF    ,202109  ,106,20,5.30
OZF    ,202112  ,60,10,6.00
OZF    ,202203  ,14,3,4.67
OZF    ,202206  ,0,0,NA
PAF    ,202108  ,2518,1730,1.46
PAF    ,202109  ,52,15,3.47
PAF    ,202112  ,4,0,9999.99
PAF    ,202203  ,0,0,NA
PAF    ,202206  ,0,0,NA
PBF    ,202108  ,834,396,2.11
PBF    ,202109  ,12,6,2.00
PBF    ,202112  ,0,0,NA
PBF    ,202203  ,0,0,NA
PBF    ,202206  ,0,0,NA
PCF    ,202108  ,56,14,4.00
PCF    ,202109  ,2,0,9999.99
PCF    ,202112  ,0,0,NA
PCF    ,202203  ,0,0,NA
PCF    ,202206  ,0,0,NA
PDF    ,202108  ,196,35,5.60
PDF    ,202109  ,2,0,9999.99
PDF    ,202112  ,0,0,NA
PDF    ,202203  ,0,0,NA
PDF    ,202206  ,0,0,NA
PEF    ,202108  ,2452,4186,0.59
PEF    ,202109  ,12,8,1.50
PEF    ,202112  ,0,0,NA
PEF    ,202203  ,0,0,NA
PEF    ,202206  ,0,0,NA
PFF    ,202108  ,72,28,2.57
PFF    ,202109  ,4,1,4.00
PFF    ,202112  ,0,0,NA
PFF    ,202203  ,0,0,NA
PFF    ,202206  ,0,0,NA
PGF    ,202108  ,304,30,10.13
PGF    ,202109  ,2,0,9999.99
PGF    ,202112  ,0,0,NA
PGF    ,202203  ,0,0,NA
PGF    ,202206  ,0,0,NA
PHF    ,202108  ,0,0,NA
PHF    ,202109  ,0,0,NA
PHF    ,202112  ,0,0,NA
PHF    ,202203  ,0,0,NA
PHF    ,202206  ,0,0,NA
PIF    ,202108  ,16,7,2.29
PIF    ,202109  ,6,1,6.00
PIF    ,202112  ,0,0,NA
PIF    ,202203  ,0,0,NA
PIF    ,202206  ,0,0,NA
PJF    ,202108  ,2170,431,5.03
PJF    ,202109  ,172,54,3.19
PJF    ,202112  ,0,0,NA
PJF    ,202203  ,2,0,9999.99
PJF    ,202206  ,0,0,NA
PKF    ,202108  ,430,289,1.49
PKF    ,202109  ,2,1,2.00
PKF    ,202112  ,0,0,NA
PKF    ,202203  ,0,0,NA
PKF    ,202206  ,0,0,NA
PLF    ,202108  ,4956,6927,0.72
PLF    ,202109  ,130,44,2.95
PLF    ,202112  ,0,0,NA
PLF    ,202203  ,0,1,0.00
PLF    ,202206  ,0,0,NA
PMF    ,202108  ,616,123,5.01
PMF    ,202109  ,44,19,2.32
PMF    ,202112  ,12,2,6.00
PMF    ,202203  ,0,0,NA
PMF    ,202206  ,0,0,NA
PNF    ,202108  ,334,126,2.65
PNF    ,202109  ,6,0,9999.99
PNF    ,202112  ,0,0,NA
PNF    ,202203  ,0,0,NA
PNF    ,202206  ,0,0,NA
POF    ,202108  ,48,12,4.00
POF    ,202109  ,0,0,NA
POF    ,202112  ,0,0,NA
POF    ,202203  ,0,0,NA
POF    ,202206  ,0,0,NA
PPF    ,202108  ,138,30,4.60
PPF    ,202109  ,0,0,NA
PPF    ,202112  ,0,0,NA
PPF    ,202203  ,0,0,NA
PPF    ,202206  ,0,0,NA
PQF    ,202108  ,936,996,0.94
PQF    ,202109  ,46,10,4.60
PQF    ,202112  ,0,0,NA
PQF    ,202203  ,0,0,NA
PQF    ,202206  ,0,0,NA
PRF    ,202108  ,1692,1743,0.97
PRF    ,202109  ,10,3,3.33
PRF    ,202112  ,0,0,NA
PRF    ,202203  ,0,0,NA
PRF    ,202206  ,0,0,NA
PSF    ,202108  ,268,43,6.23
PSF    ,202109  ,20,0,9999.99
PSF    ,202112  ,0,0,NA
PSF    ,202203  ,0,0,NA
PSF    ,202206  ,0,0,NA
PTF    ,202108  ,276,94,2.94
PTF    ,202109  ,2,0,9999.99
PTF    ,202112  ,0,0,NA
PTF    ,202203  ,0,0,NA
PTF    ,202206  ,0,0,NA
PUF    ,202108  ,7376,3051,2.42
PUF    ,202109  ,470,61,7.70
PUF    ,202112  ,268,9,29.78
PUF    ,202203  ,60,0,9999.99
PUF    ,202206  ,0,0,NA
PVF    ,202108  ,6,0,9999.99
PVF    ,202109  ,0,0,NA
PVF    ,202112  ,0,0,NA
PVF    ,202203  ,0,0,NA
PVF    ,202206  ,0,0,NA
PWF    ,202108  ,54,19,2.84
PWF    ,202109  ,0,0,NA
PWF    ,202112  ,0,0,NA
PWF    ,202203  ,0,0,NA
PWF    ,202206  ,0,0,NA
PXF    ,202108  ,36,5,7.20
PXF    ,202109  ,4,0,9999.99
PXF    ,202112  ,0,0,NA
PXF    ,202203  ,0,0,NA
PXF    ,202206  ,0,0,NA
PYF    ,202108  ,228,34,6.71
PYF    ,202109  ,20,4,5.00
PYF    ,202112  ,0,0,NA
PYF    ,202203  ,0,0,NA
PYF    ,202206  ,0,0,NA
PZF    ,202108  ,0,0,NA
PZF    ,202109  ,0,0,NA
PZF    ,202112  ,0,0,NA
PZF    ,202203  ,0,0,NA
PZF    ,202206  ,0,0,NA
QAF    ,202108  ,20,4,5.00
QAF    ,202109  ,0,0,NA
QAF    ,202112  ,0,0,NA
QAF    ,202203  ,0,0,NA
QAF    ,202206  ,0,0,NA
QBF    ,202108  ,1210,644,1.88
QBF    ,202109  ,10,1,10.00
QBF    ,202112  ,0,0,NA
QBF    ,202203  ,0,0,NA
QBF    ,202206  ,0,0,NA
QCF    ,202108  ,7334,13854,0.53
QCF    ,202109  ,142,118,1.20
QCF    ,202112  ,14,1,14.00
QCF    ,202203  ,0,0,NA
QCF    ,202206  ,0,0,NA
QDF    ,202108  ,102,17,6.00
QDF    ,202109  ,2,0,9999.99
QDF    ,202112  ,0,0,NA
QDF    ,202203  ,0,0,NA
QDF    ,202206  ,0,0,NA
QEF    ,202108  ,2778,1246,2.23
QEF    ,202109  ,216,90,2.40
QEF    ,202112  ,4,0,9999.99
QEF    ,202203  ,16,1,16.00
QEF    ,202206  ,0,0,NA
QFF    ,202108  ,19372,3562,5.44
QFF    ,202109  ,2960,418,7.08
QFF    ,202112  ,4054,133,30.48
QFF    ,202203  ,1590,69,23.04
QFF    ,202206  ,28,24,1.17
QGF    ,202108  ,640,333,1.92
QGF    ,202109  ,58,20,2.90
QGF    ,202112  ,0,0,NA
QGF    ,202203  ,0,0,NA
QGF    ,202206  ,0,0,NA
QHF    ,202108  ,11778,4060,2.90
QHF    ,202109  ,136,68,2.00
QHF    ,202112  ,32,10,3.20
QHF    ,202203  ,0,0,NA
QHF    ,202206  ,0,0,NA
QIF    ,202108  ,1594,390,4.09
QIF    ,202109  ,26,14,1.86
QIF    ,202112  ,0,0,NA
QIF    ,202203  ,4,0,9999.99
QIF    ,202206  ,0,0,NA
QJF    ,202108  ,1306,456,2.86
QJF    ,202109  ,78,27,2.89
QJF    ,202112  ,80,0,9999.99
QJF    ,202203  ,0,0,NA
QJF    ,202206  ,0,0,NA
QKF    ,202108  ,810,219,3.70
QKF    ,202109  ,30,6,5.00
QKF    ,202112  ,0,0,NA
QKF    ,202203  ,0,0,NA
QKF    ,202206  ,0,0,NA
QLF    ,202108  ,1078,334,3.23
QLF    ,202109  ,68,7,9.71
QLF    ,202112  ,0,0,NA
QLF    ,202203  ,0,0,NA
QLF    ,202206  ,0,0,NA
QMF    ,202108  ,42,15,2.80
QMF    ,202109  ,0,0,NA
QMF    ,202112  ,0,0,NA
QMF    ,202203  ,0,0,NA
QMF    ,202206  ,0,0,NA
QNF    ,202108  ,260,50,5.20
QNF    ,202109  ,72,18,4.00
QNF    ,202112  ,20,1,20.00
QNF    ,202203  ,0,0,NA
QNF    ,202206  ,0,0,NA
RHF    ,202108  ,144,0,9999.99
RHF    ,202109  ,308,35,8.80
RHF    ,202112  ,400,12,33.33
RHF    ,202203  ,122,2,61.00
RHF    ,202206  ,14,0,9999.99
RHF    ,202209  ,0,0,NA
RTF    ,202108  ,998,31,32.19
RTF    ,202109  ,444,115,3.86
RTF    ,202112  ,412,173,2.38
RTF    ,202203  ,706,12,58.83
RTF    ,202206  ,186,26,7.15
RTF    ,202209  ,14,6,2.33
SPF    ,202109  ,470,173,2.72
SPF    ,202112  ,118,6,19.67
SPF    ,202203  ,2,0,9999.99
SPF    ,202206  ,2,0,9999.99
SPF    ,202209  ,0,0,NA
T5F    ,202108  ,12,3,4.00
T5F    ,202109  ,10,7,1.43
T5F    ,202110  ,0,0,NA
T5F    ,202112  ,0,0,NA
T5F    ,202203  ,0,0,NA
T5F    ,202206  ,0,0,NA
TGF    ,202108  ,630,466,1.35
TGF    ,202110  ,392,155,2.53
TGF    ,202112  ,4,0,9999.99
TGF    ,202202  ,6,0,9999.99
TGF    ,202204  ,0,0,NA
TGF    ,202206  ,0,0,NA
TJF    ,202108  ,336,110,3.05
TJF    ,202109  ,142,26,5.46
TJF    ,202112  ,8,0,9999.99
TJF    ,202203  ,2,0,9999.99
TJF    ,202206  ,0,0,NA
TXF    ,202108  ,147870,235146,0.63
TXF    ,202109  ,23372,1551,15.07
TXF    ,202110  ,508,269,1.89
TXF    ,202112  ,8820,165,53.45
TXF    ,202203  ,1772,56,31.64
TXF    ,202206  ,354,14,25.29
UDF    ,202109  ,3636,7677,0.47
UDF    ,202112  ,184,155,1.19
UDF    ,202203  ,2,0,9999.99
UDF    ,202206  ,0,0,NA
UNF    ,202109  ,3146,5555,0.57
UNF    ,202112  ,84,56,1.50
UNF    ,202203  ,2,0,9999.99
UNF    ,202206  ,2,0,9999.99
UNF    ,202209  ,0,0,NA
XAF    ,202109  ,112,28,4.00
XAF    ,202112  ,152,40,3.80
XAF    ,202203  ,0,0,NA
XAF    ,202206  ,0,0,NA
XBF    ,202109  ,426,82,5.20
XBF    ,202112  ,50,0,9999.99
XBF    ,202203  ,0,0,NA
XBF    ,202206  ,0,0,NA
XEF    ,202109  ,402,375,1.07
XEF    ,202112  ,2,128,0.02
XEF    ,202203  ,0,0,NA
XEF    ,202206  ,0,0,NA
XIF    ,202108  ,538,722,0.75
XIF    ,202109  ,58,17,3.41
XIF    ,202110  ,0,0,NA
XIF    ,202112  ,0,0,NA
XIF    ,202203  ,0,0,NA
XIF    ,202206  ,0,0,NA
XJF    ,202109  ,720,274,2.63
XJF    ,202112  ,50,0,9999.99
XJF    ,202203  ,0,0,NA
XJF    ,202206  ,0,0,NA
ZEF    ,202108  ,4856,6601,0.74
ZEF    ,202109  ,110,60,1.83
ZEF    ,202110  ,0,0,NA
ZEF    ,202112  ,6,0,9999.99
ZEF    ,202203  ,0,0,NA
ZEF    ,202206  ,0,0,NA
